1198-31546|A health concern may be a patient or provider concern. If the author is set to the recordTarget (patient), this is a patient concern. If the author is set to a provider, this is a provider concern. If both patient and provider are set as authors, this is a concern of both the patient and the provider.*R-ENDLINE**N-ENDLINE*
4515-31546|A health concern may be a patient or provider concern. If the author is set to the recordTarget (patient), this is a patient concern. If the author is set to a provider, this is a provider concern. If both patient and provider are set as authors, this is a concern of both the patient and the provider.*R-ENDLINE**N-ENDLINE*
1098-32325|A product is recommended or even required under certain implementations. This IG makes product as recommended (SHOULD).*R-ENDLINE**N-ENDLINE*
1098-7519|administrationUnitCode@code describes the units of medication administration for an item using a code that is pre-coordinated to include a physical unit form (ointment, powder, solution, etc.) which differs from the units used in administering the consumable (capful, spray, drop, etc.). For example when recording medication administrations, 'metric drop (C48491)' would be appropriate to accompany the RxNorm code of 198283 (Timolol 0.25% Ophthalmic Solution) where the number of drops would be specified in doseQuantity@value.*R-ENDLINE**N-ENDLINE*
1198-32673|An Intervention Act SHALL reference a Goal Observation. Because the Goal Observation is already described in the CDA document instance's Goals section, rather than repeating the full content of the Goal Observation, the Entry Reference template can be used to reference this entry. The following entryRelationship represents an Entry Reference to Goal Observation.*R-ENDLINE**N-ENDLINE*
1198-31621|An Intervention Act should reference a Goal Observation. Because the Goal Observation is already described in the CDA document instance's Goals section, rather than repeating the full content of the Goal Observation, the Entry Reference template can be used to reference this entry. The following entryRelationship represents an Entry Reference to Goal Observation.*R-ENDLINE**N-ENDLINE*
1198-32404|Authorization represents consent. Consent, if present, shall be represented by authorization/consent.*R-ENDLINE**N-ENDLINE*
1198-32412|Authorization represents consent. Consent, if present, shall be represented by authorization/consent.*R-ENDLINE**N-ENDLINE*
1198-32740|Compatibility support for C-CDA R1.1 and C-CDA 2.1: A vitals organizer conformant to both C-CDA 1.1 and C-CDA 2.1 would contain the SNOMED code (46680005) from R1.1 in the root code and a LOINC code in the translation. A vitals organizer conformant to only C-CDA 2.1 would only contain the LOINC code in the root code.*R-ENDLINE**N-ENDLINE*
1198-5607|Heading: authenticator*R-ENDLINE**N-ENDLINE*The authenticator identifies a participant or participants who attest to the accuracy of the information in the document.*R-ENDLINE**N-ENDLINE*MAY contain zero or more [0..*] authenticator (CONF:1198-5607) such that it
1198-5444|Heading: author*R-ENDLINE**N-ENDLINE*The author element represents the creator of the clinical document.  The author may be a device or a person. *R-ENDLINE**N-ENDLINE*SHALL contain at least one [1..*] author (CONF:1198-5444).
1198-16792|Heading: authorization*R-ENDLINE**N-ENDLINE*The authorization element represents information about the patient's consent.*N-ENDLINE*The type of consent is conveyed in consent/code. Consents in the header have been finalized (consent/statusCode must equal Completed) and should be on file. This specification does not address how 'Privacy Consent' is represented, but does not preclude the inclusion of Privacy Consent.*N-ENDLINE*The authorization consent is used for referring to consents that are documented elsewhere in the EHR or medical record for a health condition and/or treatment that is described in the CDA document.*N-ENDLINE**R-ENDLINE**N-ENDLINE*MAY contain zero or more [0..*] authorization (CONF:1198-16792) such that it
1198-8386|Heading: componentOf*R-ENDLINE**N-ENDLINE**N-ENDLINE*A Consultation Note is always associated with an encounter; the id element of the encompassingEncounter is required to be present and represents the identifier for the encounter.*N-ENDLINE**N-ENDLINE**R-ENDLINE**N-ENDLINE*SHALL contain exactly one [1..1] componentOf (CONF:1198-8386).
1198-8471|Heading: componentOf*R-ENDLINE**N-ENDLINE*The Discharge Summary is always associated with a Hospital Admission using the encompassingEncounter element in the header.*R-ENDLINE**N-ENDLINE*SHALL contain exactly one [1..1] componentOf (CONF:1198-8471).
1198-9955|Heading: componentOf*R-ENDLINE**N-ENDLINE*The encompassing encounter represents the setting of the clinical encounter during which the document act(s) or ServiceEvent(s) occurred. In order to represent providers associated with a specific encounter, they are recorded within the encompassingEncounter as participants. In a CCD, the encompassingEncounter may be used when documenting a specific encounter and its participants. All relevant encounters in a CCD may be listed in the encounters section.*N-ENDLINE**R-ENDLINE**N-ENDLINE*MAY contain zero or one [0..1] componentOf (CONF:1198-9955).
1198-8338|Heading: componentOf*R-ENDLINE**N-ENDLINE*The H&P Note is always associated with an encounter.*R-ENDLINE**N-ENDLINE*SHALL contain exactly one [1..1] componentOf (CONF:1198-8338).
1198-30939|Heading: componentOf*R-ENDLINE**N-ENDLINE*The id element of the encompassingEncounter represents the identifier for the encounter. When the diagnostic imaging procedure is performed in the context of a hospital stay or an outpatient visit for which there is an Encounter Number, that number should be present as the ID of the encompassingEncounter. The effectiveTime represents the time interval or point in time in which the encounter took place. The encompassing encounter might be that of the hospital or office visit in which the diagnostic imaging procedure was performed. If the effective time is unknown, a nullFlavor attribute can be used.*R-ENDLINE**N-ENDLINE*MAY contain zero or one [0..1] componentOf (CONF:1198-30939).
