4515-31871|A negationInd of "true" coupled with an observation/value/@code of SNOMED code 64572001 "Disease (disorder)" indicates that the patient has no known conditions.
4515-33034|The effectiveTime represents the relevant time of the observation. A patient's "gender identity" may change and using effectiveTime/low and effectiveTime/high defines the time during which the patient had identified as specified.
4515-15604|The effectiveTime/high (a.k.a. "resolution date") asserts when the condition became clinically resolved.
4515-15603|The effectiveTime/low (a.k.a. "onset date") asserts when the condition became clinically active.
4515-31870|The observation/value and all the qualifiers together (often referred to as a post-coordinated expression) make up one concept. Qualifiers constrain the meaning of the primary code, and cannot negate it or change its meaning. Qualifiers can only be used according to well-defined rules of post-coordination and only if the underlying code system defines the use of such qualifiers or if there is a third code system that specifies how other code systems may be combined.*N-ENDLINE**N-ENDLINE*For example, SNOMED CT allows constructing concepts as a combination of multiple codes. SNOMED CT defines a concept "pneumonia (disorder)" (233604007) an attribute "finding site" (363698007) and another concept "left lower lobe of lung (body structure)" (41224006). In this example the observation value would contain "pneumonia (disorder)" (233604007), the qualifier name would contain "finding site" (363698007), and the qualifier value would contain "left lower lobe of lung (body structure)" (41224006). For more information on SNOMED CT expressions, see: https://confluence.ihtsdotools.org/display/DOCSTART/7.+SNOMED+CT+Expressions.
4515-1232|To represent additional Gender Identities, set nullFlavor="OTH". To represent "choose not to disclose", set nullFlavor="ASKU".
4515-32884|The effectiveTime represents the relevant time of the observation. A patient's "sexual orientation" may change and using effectiveTime/low and effectiveTime/high defines the time during which the patient had identified their emotional, romantic, sexual, or affectional attraction to another person.
4515-192|To represent additional orientations, set nullFlavor="OTH". To represent "choose not to disclose", set nullFlavor="ASKU". To represent "Don't know", set nullFlavor="UNK"
1198-14836|A serviceEvent represents the main act being documented, such as a colonoscopy or a cardiac stress study. In a provision of healthcare serviceEvent, the care providers, PCP, or other longitudinal providers, are recorded within the serviceEvent. If the document is about a single encounter, the providers associated can be recorded in the componentOf/encompassingEncounter template.
1198-8333|A special class of participant is the supporting person or organization:  an individual or an organization that has a relationship to the patient, including  parents, relatives, caregivers, insurance policyholders, and guarantors. In the case of a supporting person who is also an emergency contact or next-of-kin, a participant element should be present for each role recorded.
